bear,GMT.Date,GMT.Time,Latitude,Longitude
33488,27.08.2016,17:07:00,30.91387,-88.05699
33488,27.08.2016,18:07:00,30.91344,-88.05648
33488,27.08.2016,19:07:00,30.91203,-88.05611
33488,27.08.2016,20:07:00,30.91055,-88.05539
33488,27.08.2016,21:07:00,30.9111,-88.05809
33488,27.08.2016,22:07:00,30.91125,-88.05918
33488,28.08.2016,1:08:00,30.9118,-88.05686
33488,28.08.2016,2:08:00,30.91263,-88.05558
33488,28.08.2016,3:08:00,30.90922,-88.0586
33488,28.08.2016,4:08:00,30.90825,-88.06085
33488,28.08.2016,5:08:00,30.90422,-88.06264
33488,28.08.2016,6:08:00,30.89961,-88.05967
33488,28.08.2016,7:08:00,30.89916,-88.05767
33488,28.08.2016,8:08:00,30.89967,-88.05513
33488,28.08.2016,9:08:00,30.90035,-88.05309
33488,28.08.2016,10:08:00,30.89998,-88.05295
33488,28.08.2016,11:08:00,30.90029,-88.05295
33488,28.08.2016,12:08:00,30.89873,-88.04994
33488,28.08.2016,13:08:00,30.9042,-88.04971
33488,28.08.2016,14:08:00,30.90852,-88.04909
33488,28.08.2016,15:08:00,30.90892,-88.04845
33488,28.08.2016,16:08:00,30.9095,-88.04865
33488,28.08.2016,17:08:00,30.91004,-88.04701
33488,28.08.2016,18:08:00,30.91018,-88.04428
